Solver, Games Played, Games Won, Win Percentage, Lower 95%, Upper 95%,PM
Best Known Result \cite{win-klondike},442,189,42.7602,38.2299,47.4152,4.6550
Me Playing,90,29,32.2222,23.4668,42.4332,10.2110
Basic Solver,1000000,104701,10.4701,10.4102,10.5303,0.0602
Heuristics Only,1000000,126729,12.6729,12.6078,12.7382,0.0653
IDDFS Only: Max Depth 7,60,10,16.6667,9.3132,28.0316,11.3649
IDDFS Stock Check: Max Depth 3,160,30,18.7500,13.4614,25.504,6.7540
IDDFS Stock Check: Max Depth 5,160,35,21.8750,16.1701,28.8987,7.0237
IDDFS Stock Check: Max Depth 6,220,52,23.6364,18.5049,29.6728,6.0364
IDDFS Stock Check: Max Depth 7,520,119,22.8846,19.4806,26.6864,3.8018
IDDFS No Stock Check: Max Depth 7,100,11,11.0000,6.2542,18.6313,7.6313
DFS: Max Depth 7,180,24,13.3333,9.1263,19.1727,5.8394
DFS: Node Limit 2000,1250,177,14.1600,12.3369,16.2027,2.0427
DFS: Node Limit 3500,1250,180,14.4000,12.5627,16.4555,2.0555
DFS: Node Limit 5000,1250,182,14.5600,12.7133,16.6239,2.0639
,,,,,,
,,,,,,
311,200000,25363,12.6815,12.5364,12.8281,0.1466
20-1,200000,25624,12.8120,12.6662,12.9592,0.1472
110,200000,25349,12.6745,12.5294,12.821,0.1465
10,200000,25116,12.5580,12.4135,12.7039,0.1459
200,200000,25384,12.6920,12.5468,12.8386,0.1466
